Name,Age,Occupation,Hometown,ElimWeek,Season,Minority
Ryan Sutter,29,Firefighter,"Vail, Colorado",,1,
Charlie Maher,28,Financial Analyst,"Hermosa Beach, California",6,1,
Russ,30,Writer,"San Rafael, California",5,1,
Greg T.,28,Importer,"Manhattan, New York",4,1,
Bob Guiney,31,Mortgage Broker,"Ferndale, Michigan",3,1,
Jamie Blyth,27,Professional Basketball Player,"Chicago, Illinois",3,1,
Mike,24,Sales and Consulting,"Cincinnati, Ohio",3,1,
Rob,29,Computer Programmer,"Dallas, Texas",3,1,
Brian C.,28,Mortgage Broker,"Dallas, Texas",2,1,
Brian S.,28,Sales Engineer,"Dallas, Texas",2,1,
Brook,29,Rodeo Cowboy,"Dallas, Texas",2,1,
Jack,27,Firefighter,"Pepper Pike, Ohio",2,1,
Jeff,25,Professional Football Player,"San Diego, California",2,1,
Josh,31,Radio Advertising Executive,"Boca Raton, Florida",2,1,
Brian H.,30,National Sales Manager,"Cleveland, Ohio",2,1,
Billy,28,Firefighter,"Hermosa Beach, California",1,1,
Brian K.,31,Breast Implant Sales,"San Francisco, California",1,1,
Chris,35,V.P. of Auto Parts Company,"Sugarloaf, Pennsylvania",1,1,
Duane,28,Flight Instructor,"Chisago City, Minnesota",1,1,
Eric,33,Commercial Pilot,"St. Louis, Missouri",1,1,
Gregg H.,34,Marble Company Owner,"Freehold, New Jersey",1,1,
Matt,42,Gym Owner,"Marina Del Rey, California",1,1,
Paul,26,Telecommunications,"Honolulu, Hawaii",1,1,
Peter,25,Construction Business Owner,"Long Island, New York",1,1,
Wayne,37,Commercial Pilot,"Sacramento, California",1,1,
Ian McKee,29,Equity Research Sales,"New York, New York",,2,
Matthew Hickl,28,Pharmaceutical Sales Rep,"Friendswood, Texas",8,2,
Chad,31,Pharmaceutical Sales Rep,"Buffalo, New York",6,2,
Lanny,26,Stallion and Breeding Manager,"Aubrey, Texas",5,2,
Brad,29,Pharmaceutical Sales Rep,"Grand Rapids, Michigan",4,2,
Ryan M.,30,Financial Advisor,"Santa Barbara, California",4,2,
Sean,31,CPA,"Wall, New Jersey",4,2,
Rick,29,Business Manager,"San Diego, California",3,2,
Ryan R.,29,Sales/Marketing,"Wynola, California",3,2,
Todd,36,Options Trader,"San Francisco, California",3,2,
Damon,28,Arena Football Player,"Cardiff, California",2,2,
Eliot,25,Options Trader,"Mountain View, California",2,2,
Harold Hersh,29,Professional Hockey Player,"Rock Island, Illinois",2,2,
Marcus,26,Personal Trainer,"Los Angeles, California",2,2,
Robert,32,Alliance Development,"El Segundo, California",2,2,
